id,brand,title,title_en,title_ar,description,description_en,description_ar,usageTips,usageTips_en,usageTips_ar,customBadge,customBadge_en,customBadge_ar,category,subCategory,tags
iWbxwO9hJm70kcozgbUX,,,,,,,,,,,,,,,,
TPkeHk0ssVXRJkueyMrq,Nour Beauty,2 in 1 Matte Lipstick & Lip Liner,2 in 1 Matte Lipstick & Lip Liner,,"# Nour Beauty 2 in 1 Matte Lipstick & Lip Liner — Le Duo Lèvres Parfait 

Dessinez et sublimez vos lèvres en un clin d'œil avec le stylo duo 2-en-1 de Nour Beauty®. Cet outil indispensable combine un crayon à lèvres précision et un rouge à lèvres mat assorti pour une bouche parfaitement définie et intensément colorée. Sa texture crémeuse glisse sans effort, offrant un fini mat velouté ultra-confortable qui ne dessèche pas les lèvres et tient tout au long de la journée. Plus besoin de chercher la teinte de crayon idéale : le combo parfait est déjà réuni.

**Pourquoi vous allez l'adorer :**

* **Action 2-en-1 Pratique :** Un côté crayon pour définir les contours et un côté rouge à lèvres pour remplir la bouche en un instant.
* **Fini Mat Velours :** Une texture mate hautement pigmentée au rendu sophistiqué et moderne.
* **Formule Confortable :** Glisse facilement sur la peau sans filer dans les ridules, maintenant la souplesse des lèvres.
* **Format Idéal pour les Retouches :** Un packaging double embout ultra-pratique à glisser dans le sac pour passer d'un look de journée à un look de soirée.

**Nuances disponibles :**
* **Teinte 04 :** Un nude beige chaud texturé, idéal pour un look naturel au quotidien.
* **Teinte 03 :** Un nude délicat pour rehausser subtilement la couleur naturelle des lèvres.
* **Teinte 09 :** Un vieux rose élégant, parfait pour une touche sophistiquée de tous les jours.
* **Teinte 12 :** Un bordeaux/lie-de-vin mystérieux pour un look automnal ou de soirée intense.
* **Teinte 06 :** Un nude chaud et audacieux pour structurer le sourire avec caractère.
* **Teinte 05 :** Un marron chocolat profond et ultra-tendance, inspiré des looks rétro iconiques.

> **Le conseil beauté :** Utilisez d'abord le côté crayon pour souligner le contour de vos lèvres en accentuant légèrement l'arc de Cupidon pour un effet volumateur. Appliquez ensuite le rouge à lèvres sur l'ensemble de la bouche. Pour un effet dégradé (ombré lips), vous pouvez utiliser le crayon d'une teinte plus foncée sur les bords.

**Caractéristiques clés :**
* **Type de produit :** Rouge à lèvres mat et crayon contour double embout.
* **Fini :** Mat velouté.","# Nour Beauty 2 in 1 Matte Lipstick & Lip Liner — The Ultimate Lip Duo

Shape, define, and color your pout effortlessly with the Nour Beauty® 2-in-1 Lip Duo. This essential beauty tool features a precision lip liner on one end and a perfectly matching matte lipstick on the other to deliver flawless definition and rich, opaque color. Its ultra-creamy formula glides onto the lips smoothly, setting into a comfortable, velvet matte finish that holds up all day without drying out your skin. No more guesswork trying to match your liner to your lipstick—the perfect combination is right in your hand.

**Why you'll love it:**

* **Convenient 2-in-1 Design:** Features a sharp lip liner to trace contours and a lipstick to instantly fill with rich color.
* **Velvet Matte Finish:** Highly pigmented matte formula that gives a sophisticated, modern look.
* **Comfortable Wear:** Glides effortlessly without pulling or settling into fine lip lines, keeping lips smooth.
* **Travel-Friendly Packaging:** Compact dual-ended design that easily slips into your purse for quick on-the-go touch-ups.

**Available Shades:**
* **Shade 04:** A warm, structured beige nude—perfect for a clean, everyday natural look.
* **Shade 03:** A soft, delicate nude to subtly enhance your natural lip color.
* **Shade 09:** An elegant dusty rose, ideal for a daily touch of effortless sophistication.
* **Shade 12:** A deep, mysterious berry burgundy for intense night-out or autumnal styles.
* **Shade 06:** A bold, warm nude designed to frame your smile with striking character.
* **Shade 05:** A trendy, deep chocolate brown inspired by iconic retro lip looks.

> **Beauty Tip:** Start by using the liner end to map out your lip contour, slightly overlining the Cupid's bow if you want an extra plumping effect. Follow up by filling in the rest of your lips with the lipstick end. For a gorgeous ombré lip look, use a darker shade's liner on the edges and a lighter lipstick shade in the center.

**Key Features:**
* **Product Type:** Dual-ended matte lipstick and coordinating lip liner.
* **Finish:** Velvety matte.",,,,,6 teintes,6 shades,,Maquillage,Crayon à lèvres,"maquillage; lèvres; crayon_à_lèvres; mat"
K97HiNQPNwYQPnXkiETH,Maybelline,Anti-cernes Instant Anti-Age Eraser,Instant Anti-Age Eraser Multi-Use Concealer,,"# L'anti-cernes multi-usage iconique pour un regard instantanément transformé

Le correcteur Instant Anti-Age Eraser est bien plus qu'un simple anti-cernes. Sa formule culte, associée à son applicateur éponge breveté, permet de camoufler les imperfections, de corriger les cernes et d'illuminer le regard en un clin d'œil. 

**Pourquoi vous allez l'adorer :**
* **Action Multi-Usage :** Camoufle les cernes, corrige les petites imperfections et peut s'utiliser pour sculpter les traits du visage.
* **Texture Fluide :** Sa couvrance modulable se fond parfaitement à la peau sans filer dans les ridules.
* **Application Facile :** L'embout mousse iconique permet une application douce, précise et ultra-rapide.

💡 **L'astuce de l'expert :** Pour un effet ""lifting"" immédiat, appliquez le produit en formant un triangle inversé sous l'œil et étirez la matière vers les tempes.","Maybelline's Instant Anti-Age Eraser is the legendary ""do-it-all"" concealer. Featuring a unique micro-corrector applicator, it offers seamless application to hydrate, conceal, and contour while effectively erasing the look of dark circles and fine lines.

**Why you'll love it:**
* **Multi-Use Performance:** Conceals dark circles, corrects blemishes, and can be used for highlighting or contouring.
* **Smooth Formula:** Provides buildable coverage that blends effortlessly without creasing or looking cakey.
* **Signature Applicator:** The soft sponge tip ensures precise, mess-free application every time.

💡 **Expert tip:** To brighten your entire face, apply a shade lighter than your skin tone to the bridge of your nose, brow bones, and the inner corners of your eyes.",,"1. Tournez le col du micro-applicateur jusqu'à ce que la formule apparaisse sur la mousse.
2. Appliquez directement sur la zone souhaitée.
3. Estompez au doigt, au pinceau ou à l'éponge pour un fini naturel.","1. Twist the collar of the applicator until the concealer is visible on the sponge.
2. Apply directly to the under-eye area or any imperfections.
3. Blend using an outward motion with your fingertips, a brush, or a beauty blender.",,6 teintes,6 shades,,Maquillage,Anti-cernes,"maquillage; anti-cernes; teint; couvrance_moyenne; haute_couvrance; mat; tout_type; moyenne; haute_couvrance"
nUw0SrQ66xxCeqWsDGzu,Flux Care,Après-Shampooing Anti-Chute,Anti-Hair Loss Conditioner,,"Après-Shampooing AMINEXIL RESIST
SANS PARABEN SANS SILICONE, SANS SULFATES
La gamme Aminexil Resist contient de l'Aminexil, de la biotine et de l'arginine pour renforcer vos cheveux des racines jusqu'aux pointes et réduire la chute de cheveux.
Résultats : Jour après jour, le cuir chevelu est plus sain, les cheveux sont moins cassants et plus résistants.2X
moins de cheveux sur la brosse.","AMINEXIL RESIST
Conditioner
PARABEN-FREE, SILICONE-FREE, SULFATE-FREE .  The Aminexil Resist range contains Aminexil, Biotin, and Arginine to strengthen your hair from root to tip and reduce hair loss.
Results: Day after day, the scalp is healthier, hair is less brittle and more resistant. 2X less hair on the brush.",,"Après le shampooing, appliquez sur cheveux essorés, des longueurs jusqu'aux pointes. Laissez agir 2 à 3 minutes, puis rincez abondamment.","After shampooing, apply to towel-dried hair from mid-lengths to ends. Leave on for 2 to 3 minutes, then rinse thoroughly.",,,,,Cheveux,Après-Shampooing,"cheveux; gamme_aminexil; tout_type; après-shamoooing; anti-chute; réparation; brillance; hydratation"
ywhbCVYgx4oB0vy9vjld,Flux Care,Après-Shampooing pour cheveux Abîmés,Conditioner for Damaged Hair,,"L'après shampooing sans silicones perfect long démêle et répare intensément vos longueurs sans les alourdir. sa formule ultra puissante vous apporte 3x plus de soins avec une action anti-casse.
HUILE DE RICIN: qui nourrit, apporte de la brillance et protège les longueurs
LA KÉRATINE: qui reconstitue le cheveu jusqu'à la pointe
L'HUILE DE CAMELIA: qui rend vos cheveux plus forts.","The silicone-free PERFECT LONG conditioner instantly detangles and intensely repairs your lengths without weighing them down. Its ultra-powerful formula provides 3x more care with an anti-breakage action.
CASTOR OIL: nourishes, adds shine, and protects lengths.
KERATIN: rebuilds hair all the way to the ends.
CAMELLIA OIL: makes your hair stronger.",,"Après le shampooing, appliquez sur cheveux essorés, des longueurs jusqu'aux pointes. Laissez agir 2 à 3 minutes, puis rincez abondamment.","After shampooing, apply to towel-dried hair from mid-lengths to ends. Leave on for 2 to 3 minutes, then rinse thoroughly.",,,,,Cheveux,Après-Shampooing,"cheveux; gamme_perfect_long; après-shampooing; réparation; hydratation; brillance; abîmés; lisses; ondulés; bouclés; frisés; crépus"
D9bXbZwRlSoY3NIhSZQT,Flux Care,Après-Shampooing pour cheveux Colorés,Color Protect Conditioner,,"Enrichi en Filtres UVA/UVE, l’après-shampooing color fix apporte un soin intense en profondeur grâce a sa texture riche et fondante. La formule nourrit le cheveu intensément pour le transformer en une matière soyeuse et sublimer l'éclat de la couleur.
Résultats prouvés: 2X plus de soin protection durable.","Enriched with UVA/UVB filters, the Color Fix conditioner provides deep, intense care thanks to its rich and melting texture. The formula intensely nourishes the hair, transforming it into a silky texture and enhancing color radiance.
Proven results: 2X more care, long-lasting protection.",,"Après le shampooing, appliquez sur cheveux essorés, des longueurs jusqu'aux pointes. Laissez agir 2 à 3 minutes, puis rincez abondamment.","After shampooing, apply to towel-dried hair from mid-lengths to ends. Leave on for 2 to 3 minutes, then rinse thoroughly.",,,,,Cheveux,Après-Shampooing,"cheveux; gamme_color_fix; après-shampooing; hydratation; brillance; réparation; colorés; lisses; bouclés; crépus; frisés; ondulés"
Baozrr04ZBJ4roxwatIS,Flux Care,Après-shampooing pour cheveux Déshydratés,Conditioner for Dehydrated & Dull Hair,,"L’après-shampooing 7en1 aux acides hyaluroniques enveloppe instantanément la fibre pour une rétention durable de l’hydratation. Formulé avec une nouvelle génération d’actifs de soins capillaires, ce produit crée une barrière d’humidité locale, ce qui favorise la transformation de la kératine alpha en kératine bêta pour rehausser la beauté des fibres capillaires.","L’après-shampooing 7en1 aux acides hyaluroniques enveloppe instantanément la fibre pour une rétention durable de l’hydratation. Formulé avec une nouvelle génération d’actifs de soins capillaires, ce produit crée une barrière d’humidité locale, ce qui favorise la transformation de la kératine alpha en kératine bêta pour rehausser la beauté des fibres capillaires.",,"Après le shampooing, appliquez sur cheveux essorés, des longueurs jusqu'aux pointes. Laissez agir 2 à 3 minutes, puis rincez abondamment.","After shampooing, apply to towel-dried hair from mid-lengths to ends. Leave on for 2 to 3 minutes, then rinse thoroughly.",,,,,Cheveux,Après-Shampooing,"cheveux; revive; gamme_7en1; après-shampooing; hydratation; volume; anti-frisottis; brillance; sans_sulfates; secs; lisses; ondulés; bouclés; frisés; crépus"
IyKERjdfiZMvpPQws3sz,Flux Care,Après-Shampooing pour cheveux Gras,Conditioner for Oily Hair,,"Vos cheveux et votre cuir chevelu ont tendance à regraisser
vite et à s'alourdir ?
Découvrez cette gamme purifiante. Sa formule combines 3 argiles, réputées pour leur action séborégulatrice et leur doux
pouvoir absorbant.
De quoi purifier vos cheveux des la racine et leur offrir un nouveau souffle !","Do your hair and scalp tend to get oily quickly and feel weighed down? Discover this purifying range. Its formula combines 3 clays, renowned for their sebum-regulating action and gentle absorbing power. Purify your hair from the roots and give it a fresh new start!",,"Après le shampooing, appliquez sur cheveux essorés, des longueurs jusqu'aux pointes. Laissez agir 2 à 3 minutes, puis rincez abondamment.","After shampooing, apply to towel-dried hair from mid-lengths to ends. Leave on for 2 to 3 minutes, then rinse thoroughly.",,,,,Cheveux,Après-Shampooing,"cheveux; gamme_pure_clay; après-shampooing; hydratation; gras; lisses; ondulés; bouclés; crépus; frisés"
261GVya97e4IiU2jlpqz,Flux Care,"Après-Shampooing pour cheveux Secs, Frisés ou Crépus","Conditioner for Dry, Curly or Coily Hair",,"L'après-shampoing nourrissant à l'huile d'avocat et au beurre de karité est idéal pour nourrir en profondeur les cheveux secs et frisés sans les alourdir. Sa formule crémeuse
démêle et nourrit les cheveux instantanément.
Résultat: extrêmement faciles à coiffer, les cheveux retrouvent douceur et éclat. Sans être alourdis.","The Nourishing Conditioner with Avocado Oil and Shea Butter is ideal for deeply nourishing dry and curly hair without weighing it down. Its creamy formula instantly detangles and nourishes the hair.
Result: Extremely easy to style, hair regains softness and radiance. Without being weighed down.",,"Appliquez sur les pointes, laissez poser 1 minute et rincez. En cas de contact avec les yeux, rincez immédiatement.","Apply to ends, leave for 1 minute and rinse. In case of contact with eyes, rinse immediately.",,,,,Cheveux,Après-Shampooing,"cheveux; gamme_huile_davocat; après-shampooing; hydratation; secs; bouclés; frisés; ondulés; crépus"
VOf7dxdwqE6dLdNBUWgY,Protelisse,Après-Shampooing Protéiné pour cheveux Gras,Sulfate-Free Protein Conditioner for Oily Hair,,Après-Shampooing Sans Sulfate : Répare les cheveux abîmés et secs en leur redonnant vitalité et brillance. Il facilite instantanément le démêlage et le coiffage.,"Sulfate-Free Conditioner: Repairs damaged and dry hair, restoring vitality and shine. It makes hair easier to detangle and style.",,"Après le shampooing, appliquer sur l'ensemble des longueurs et des pointes. Laisser agir 5 minutes, puis rincer abondamment à l'eau tiède.","Apply directly after shampooing to the lengths and ends. Leave on for 5 minutes, then rinse thoroughly with lukewarm water.",,,,,Cheveux,Après-Shampooing,"cheveux; gamme_citron; après-shampooing; gras; lisses; ondulés; bouclés; frisés; crépus; réparation; hydratation; brillance"
